"52D_NCI-H460_2"	"25D_NCI-H1703_2"	"49D_NCI-H292_2"	"01D_A427_3"	"03D_BEAS-2B_3"	"10D_IMR-90_3"	"60D_WI-38_3"	"54D_NCI-H522_3"	"53D_NCI-H520_2"	"14D_NCI-H1435_3"	"40D_NCI-H2087_3"	"31D_NCI-H1838_3"	"20D_NCI-H1648_3"	"28D_NCI-H1781_3"	"07D_HCC2935_3"	"08D_HCC4006_3"	"13D_NCI-H1395_3"	"43D_NCI-H2228_3"	"33D_NCI-H1975_3"	"55D_NCI-H820_3"	"22D_NCI-H1651_3"	"29D_NCI-H1792_3"	"58D_RERF-LC-MS_3"	"30D_NCI-H1793_3"	"38D_NCI-H2073_3"	"34D_NCI-H1993_3"	"18D_NCI-H1573_3"	"24D_NCI-H1693_3"	"05D_Calu3_3"	"16D_NCI-H1563_3"	"19D_NCI-H1623_3"	"21D_NCI-H1650_3"	"39D_NCI-H2085_3"	"46D_NCI-H2342_3"	"17D_NCI-H1568_3"	"57D_PC9_3"	"23D_NCI-H1666_3"	"42D_NCI-H2126_3"	"48D_NCI-H2405_3"	"27D_NCI-H1755_3"	"32D_NCI-H1944_3"	"41D_NCI-H2122_3"	"15D_NCI-H1437_3"	"37D_NCI-H2030_3"	"36D_NCI-H2023_3"	"02D_A549_3"	"06D_Calu6_3"	"59D_SK-LU-1_3"	"04D_Calu1_2"	"45D_NCI-H23_3"	"11D_NCI-H1299_3"	"56D_NCI-H838_3"	"44D_NCI-H2291_3"	"47D_NCI-H2347_3"	"35D_NCI-H2009_3"	"26D_NCI-H1734_3"	"50D_NCI-H3122_3"	"51D_NCI-H441_3"	"12D_NCI-H1373_3"	"09D_HCC827_3"
"chr20_35714185_35725155_-"	1.08229158562267	1.0127788264774	1.19450242994555	1.41307172560376	1.32446670242141	1.26044221128292	1.19340873618106	0.979554939282952	1.51751578221878	1.05967103524325	1.20718989876456	0.868967245909568	1.06765508362785	1.07646518253497	1.03476630667779	0.620803209986615	1.36754795751268	1.00772093513445	1.51095408609811	0.798678203959043	0.845778635496126	1.66034991829751	1.16591574540627	1.61415408341056	1.19117444067196	1.46628605316812	1.28026587954206	1.26074132329529	1.49488170693545	1.60863374441637	1.65297955590295	1.52848388762874	1.28309977341789	1.60704402327933	1.18021269494561	1.14845736267478	1.22724506055718	1.27260125297767	1.15605263723325	1.22242078904452	0.985464435982753	1.08594944156312	1.0109058313558	1.03525467255157	0.991087163423981	1.24211799557921	1.20345620386983	1.47327222919414	1.15782305151179	1.29765197481169	1.35172331846086	1.53905545343563	1.37341120444934	1.13482392240949	1.18882422037401	0.896641583001472	1.19263944347887	1.18536340397493	0.971236583017857	1.30267110176056
"chr20_58438945_58441083_+"	0.787838839728629	0.997102195523993	1.08709021872379	0.903603688137141	1.11996875375252	1.03288381759816	0.890927532906924	0.79276568931738	1.10975504331887	1.31016892976242	0.303678720404572	0.759852840254524	0.979816212251237	1.12069122307924	0.902161062012368	0.890135746314478	1.01611379519411	1.00183751303674	1.12247399832202	0.879845697152813	1.04556566081624	1.38678769050168	1.00138655645805	1.42735548357542	1.2393852018425	1.28307166016188	1.49011898700083	1.09322016573325	1.02661522139404	1.50228101460547	1.08170764744491	1.54546637427702	1.51847338624655	1.56192327622696	1.46731261118632	1.31504669311327	1.35439085024719	1.38267972454784	1.27022660345354	1.31268081551298	0.967606110073224	0.856092985905845	0.996533981330936	1.16081178460847	1.08520742976252	1.03286236836993	1.13411435863697	1.32558549334091	1.37521761612504	1.45764970022836	1.44385518064655	1.41564040084101	1.36469110447008	1.03630364208924	0.900415911902782	1.04027043352348	1.41589895805754	1.10147050854359	0.978732140784344	1.07545106831112
"chr4_55411614_55417985_+"	0.976728295716184	0.99230169814659	1.19178305956246	0.895033404844507	1.13088764378916	1.46920578814415	1.45496511261294	0.942624185916599	1.16621464322103	1.28198106206422	0.685458218153373	1.5619328673231	0.914971254127546	1.20416948031423	0.660628782999758	1.00317653448418	1.37307240760544	1.21969245979655	1.22145963565892	0.90772992242381	0.860277192412361	1.35049720601479	1.05737211606173	1.27523915088022	1.50914498059426	1.26107263502209	1.47515563968745	1.61335035010335	1.25861279754204	1.54997081229053	1.52131732691196	1.26789409869777	1.75589897865711	1.46559890865668	1.23139590345979	1.22494376283454	1.27912806439359	1.42558911061688	0.752691818365272	1.07965995821725	1.12417278667855	1.07466680891367	1.22347549542786	1.19747381971547	1.26026905883733	1.09078644434696	1.14210965061209	1.73982262206375	1.14132250872234	1.38160942546138	0.966933162729235	0.978261757492896	1.81488868316501	1.15370204051296	1.16677027637173	1.06609441550439	1.36269118976253	1.39512666062206	1.08617695390139	1.20225657737297
"chr4_76134175_76144473_-"	0.984057061064515	1.1386859579788	1.03839272817469	1.18079543948217	1.21821441628527	1.00262754228325	0.990640114977155	1.43259858296373	1.56784195716546	1.15694611272307	0.471879552536436	1.01711807506926	0.903097374263227	1.23393882230412	0.771966690560392	0.741202869786342	1.01420091792666	0.937543093435002	0.956849706544206	0.923079446673888	1.14667063334403	1.21563590971543	0.966976658014828	1.24317324748869	0.935761774714162	1.22682245990919	1.49662174799568	1.11121109514499	1.0304515666917	1.40913920402199	1.52348772976394	1.03210445738982	1.24645017597282	1.32179094993062	1.32954473900963	1.41452751482917	1.20461515503687	1.30012480952501	1.31134627524915	1.23245339563225	0.914074474914529	1.11732331160897	1.08795906650543	1.03555201728606	1.09167777315673	1.15782815481785	1.34506447941991	1.7479701816044	1.19288544726354	1.37153578329791	1.13466619671479	1.10378034965897	1.3572928205279	1.08273837896628	0.940461735218106	1.15058518185321	1.22781921705895	1.29981017523111	1.58755065752551	1.37564254110321
"chr12_120154970_120155719_-"	1.01596589321486	1.12822319053302	1.22798853760305	1.37318363252736	1.08738214587803	1.21064997871873	1.24897010557899	1.25914996489338	1.68709440057746	1.10344412845017	0.741570690545464	1.11081192385821	0.574497847674918	1.07060383376863	0.560433502983828	0.982349170931673	0.978174565969034	0.625231870229486	0.944007944459035	0.808605724463172	1.28260190130617	1.37404701686667	1.11820642400658	1.09007652962937	0.965891704049536	1.46239879079577	1.0621524781805	0.897726347830112	1.2182590653802	1.25834556232732	1.48542025932865	1.08290830659235	1.30735809105617	1.13820939545378	1.37838804881225	1.37761034678851	0.686793787638336	1.41346013605357	1.15007339749026	1.18975905515333	0.883172307153418	1.22616580227525	1.11790572434114	1.16902184860522	1.29931632968157	1.2593016384134	1.18609104256202	1.27144742557136	1.19097428921918	1.55124437551336	1.40819405849827	1.19608519838958	1.21500955421852	1.15719504302792	1.03155848946441	0.969431074812839	0.941053072866139	1.34872522711808	1.06461427914303	1.34131114135801
"chr11_130260856_130261929_-"	0.890223781254803	0.810902482610463	1.2445014938901	1.24226405406876	0.95071024226224	1.20783066601975	0.967010419739172	1.21837480741198	1.53763047591247	0.710386282333122	0.993328165719002	1.36407120700916	1.40248711965682	0.647131072786447	0.625819269061729	0.674614242420422	0.951275127969623	0.942118159390914	0.960272097571053	1.2110085776268	1.09731536644778	1.35186407263685	1.27514709243727	1.35657612308013	0.920257944508802	1.03338876173251	1.35130596247268	0.941099779703947	1.13888140817354	1.26390060745981	1.7211631426714	1.18485194663187	1.40705522746661	1.03355346659548	1.47949226434665	1.10917446796863	1.18953106792643	1.04364573898899	1.12217597845103	1.04623376354519	1.57884051449079	1.16829090326446	1.32099780578148	1.06575902117396	1.11607018953135	1.14447802881455	1.14160143071391	1.28883646796304	1.39938529322959	1.31402788799547	1.02451526553001	1.22259468559258	1.30539526296904	1.20126333423997	1.28266060362955	1.07722536533068	0.878296217724752	1.44284065091465	1.0582655365995	1.14138567700479
"chr10_7797047_7802854_+"	1.01932907300186	0.997102195523993	1.39603941727168	1.45348063621807	1.37932981710329	1.17311713621085	1.17352859472435	0.81741675275982	1.60513492203711	1.39056582287697	0.835245384857585	1.23316335399757	0.999199220753706	0.937613304864041	1.05721290728148	1.26491514861218	1.66447081078553	1.16500691878859	1.7281822593742	1.16142557590762	1.14113314658492	1.54727461518547	1.38257470623955	1.36776229610923	1.38032339304658	1.18554487417793	1.57131462904751	0.910660783943318	1.31571970967612	1.6229443012791	1.46589697585721	1.16297160497278	1.12233665811225	1.23989568428133	1.05526705878965	1.41163850953439	1.30439502834839	1.3023880240071	1.19492061216736	1.52044208888106	1.47758287087689	1.43096595519164	1.66677349189741	1.32895991831267	1.05877897339428	1.47931324801662	1.37968927677073	1.35737652893449	0.880477639813852	1.14501540600749	0.703327743884877	1.10999790413713	1.21919650376175	1.13749827918071	0.939244496123798	1.11699728321403	1.44961736029692	1.30864371061236	0.788798906430143	0.921628445980488
"chr3_170145423_170149244_-"	0.277887900221279	0.868119311431762	1.08857547697162	1.05825228482324	1.1440346221242	1.1726888969673	1.20892829359411	1.25663671733082	1.18040023073861	1.14379859990849	0.739935843695459	1.00577676520063	1.01074582580168	0.886707258439314	1.19581591839106	0.905598443775091	0.910494408669054	1.08718217034116	1.11395994172473	0.852426238639761	1.42564961585804	1.17168495884379	1.08333144004519	1.39765940367288	1.07850034336395	0.994447087736485	1.53415943034479	1.12545964680142	1.37390531717825	1.59098028599158	1.3779390055783	1.34328934824645	1.24511731984948	1.46096847860562	1.4542933599801	1.19976421835214	1.01882621725744	1.4081463653143	1.19772655897903	1.16720379706023	1.08429316575587	0.936427426411721	1.26422580537616	1.05756521532516	1.30830085743621	1.2995068344127	1.26639902476419	1.03859991060752	0.81814102619394	0.997751272710834	1.37789390061028	1.11253064623528	1.51219390162678	1.15207163107513	0.937120975581539	1.46017236896442	1.31460853089113	1.04067041457763	1.4158003972457	1.10476612146187
"chr3_170136419_170149244_-"	0.842041506039119	0.950033909346524	0.845569026497339	1.11767597692735	1.04940140449544	0.89765542028734	1.0881848158649	1.01556441364324	1.1584407129083	1.11220741960657	1.39200808571188	0.95389589855376	1.03186386275226	0.967151758259576	1.01100967145151	0.795998800605021	1.05745121343509	1.1710515134528	0.97566272760262	0.786562121053656	1.38139174679339	1.16613541270841	1.02509206143762	1.44088009043724	1.08389287297818	1.06055997561058	1.50678154980266	0.909300852178147	1.18283234762187	1.52542189712309	1.22935235727887	1.3256213434818	1.11074694457562	1.41743495257341	1.35831479252007	1.10322735044568	1.1064384665842	1.54418571113932	1.28055633012119	0.979587759150888	1.13941915751059	0.930356609307932	1.17810647323736	0.916339348952123	1.11898626796142	1.16689627219721	1.18755540120457	1.04347995603163	1.11741636679471	0.724134647430808	1.12591283605659	0.912051641474585	1.31358111778441	0.975560146743005	1.01316372744114	1.5751820659152	1.36633745231408	1.02772823570706	1.33777140659898	1.26687102061349
"chr14_21503173_21503881_-"	0.661326612395732	0.769854503644946	1.11164759833624	1.02825148595073	0.957947719490429	1.13478351379041	1.19319178213315	1.23491794389455	1.40706530250207	1.08113616095115	0.550388639209667	1.1994271844259	0.940111902420416	1.33721909194039	1.36041710241466	1.11014342374007	1.01971830827049	1.22177824238118	1.09309279109566	1.05830183799594	1.51839301746754	1.5478382475233	1.1895504161134	1.08189953291464	1.19036636273905	1.34072106025345	1.55649717103274	1.10322861233642	0.946955491113307	1.32928938878164	1.44639966907925	0.8449096708036	1.17369661903581	1.59606835354711	1.25273292301265	1.19842308705512	0.961491422342307	1.42900951970574	1.12217597845103	0.823430717984518	0.355006400388494	1.06736491165367	1.2187721322942	1.15916581617273	1.1194683456119	1.16885105239396	1.3208650740766	1.49788491042343	1.13045077405085	1.35112351875976	1.12486934936874	0.856696737782214	1.37621905887682	1.16273519623322	1.02708726126192	1.06119455524839	1.15772409585503	1.21463065148104	1.15475774650869	1.39094991747367
