"52D_NCI-H460_2"	"25D_NCI-H1703_2"	"49D_NCI-H292_2"	"04D_Calu1_2"	"03D_BEAS-2B_3"	"10D_IMR-90_3"	"60D_WI-38_3"	"13D_NCI-H1395_3"	"40D_NCI-H2087_3"	"55D_NCI-H820_3"	"08D_HCC4006_3"	"43D_NCI-H2228_3"	"20D_NCI-H1648_3"	"26D_NCI-H1734_3"	"31D_NCI-H1838_3"	"47D_NCI-H2347_3"	"35D_NCI-H2009_3"	"53D_NCI-H520_2"	"54D_NCI-H522_3"	"39D_NCI-H2085_3"	"18D_NCI-H1573_3"	"19D_NCI-H1623_3"	"37D_NCI-H2030_3"	"11D_NCI-H1299_3"	"45D_NCI-H23_3"	"56D_NCI-H838_3"	"06D_Calu6_3"	"58D_RERF-LC-MS_3"	"27D_NCI-H1755_3"	"44D_NCI-H2291_3"	"51D_NCI-H441_3"	"12D_NCI-H1373_3"	"09D_HCC827_3"	"59D_SK-LU-1_3"	"16D_NCI-H1563_3"	"30D_NCI-H1793_3"	"29D_NCI-H1792_3"	"41D_NCI-H2122_3"	"15D_NCI-H1437_3"	"32D_NCI-H1944_3"	"36D_NCI-H2023_3"	"02D_A549_3"	"01D_A427_3"	"33D_NCI-H1975_3"	"22D_NCI-H1651_3"	"14D_NCI-H1435_3"	"23D_NCI-H1666_3"	"07D_HCC2935_3"	"28D_NCI-H1781_3"	"48D_NCI-H2405_3"	"24D_NCI-H1693_3"	"21D_NCI-H1650_3"	"05D_Calu3_3"	"38D_NCI-H2073_3"	"34D_NCI-H1993_3"	"57D_PC9_3"	"50D_NCI-H3122_3"	"46D_NCI-H2342_3"	"42D_NCI-H2126_3"	"17D_NCI-H1568_3"
"chr10_5794885_5800705_-"	0.259011695877701	0.874497219083442	0.633815840625593	0.781218928074476	0.812309544998527	0.74897308025449	0.704921417316578	1.00609678800403	0.668551804312566	0.661216392919051	0.852640122344345	0.755282233060053	0.336099186734521	0.917381635638642	0.467464703855805	0.684377406590859	0.914702945475565	1.4201413249134	0.638431762612274	1.01950240362607	0.749263487812484	1.07455736295207	0.855312656873722	0.866688308921661	1.11016768527843	1.19457212282353	1.04591416045429	0.638978273320679	0.7752296584897	1.00252016240656	0.878873427261162	0.757179307888178	0.382144362901269	0.969172169889747	0.794543442149778	0.85175224452324	1.08603045442558	0.838713110756994	1.0397552322489	0.801881314604112	0.683398789439941	1.03031514290539	0.804523054210333	0.705328752718183	1.01777461926697	0.794838885508223	0.899206756613437	0.871340814430536	0.725939941485261	1.03129492110601	0.845122018293605	1.13950260138527	0.712129854824891	1.05596458594781	1.03338876173251	1.00380247330798	1.1082536424861	0.969555026529813	1.03383441981812	1.1647281622649
"chr10_5785142_5800705_-"	0.420142160060707	0.810902482610463	0.697792081052815	0.735430254936732	0.78986799135438	0.956340460839688	0.61981791647063	0.686577584682479	0.471879552536436	0.718782032051911	0.653516581556099	0.56212916457789	0.469883716476414	0.441898043394146	0.668653923547296	0.695293257981609	0.66039369155623	1.24322268667304	0.606710935799499	1.15367373956886	0.936364387594369	0.921447758885013	1.02558565867219	0.519897174427776	1.05670657759124	1.34594162920571	1.01349703991181	0.708691133343335	0.78969527316354	0.961756608981086	0.631886084719712	0.635095643083002	0.731811742293396	0.839616977479125	0.618249803062288	0.825365255101766	1.04534454031697	1.16535975279397	1.05576139506772	0.691636004102913	0.678358536532588	0.868491406581917	1.13417010137135	0.960618881084125	0.57787369202497	0.780352214522652	0.887302633788602	0.656170383297025	0.730868319123332	1.06222241881813	0.695328873078452	1.01809398712495	0.945292783171435	0.681189293343663	0.823575390471514	0.973656860446529	0.941053072866139	0.730552444625807	0.804281511809104	0.894467491352281
"chr10_110596398_110598290_+"	0.933590360518633	0.742045023871343	0.478159930329226	0.746230049021607	0.900712369949164	0.824486015955148	0.925316118646253	1.04105590880835	0.631469774341784	0.641180454806029	0.690941370521149	0.553890851689922	0.676003349765648	0.435275604718497	0.663829619099147	0.707854128466006	0.759169657342096	0.993609115427786	0.956497263442111	1.16874073586384	0.848975393077383	1.13617864969949	0.961943480668778	0.855478086335395	1.02539813889837	0.994860007460628	0.875223617033711	0.998469820436667	0.960762244984054	0.842771012043015	0.730338833463514	0.882883069777715	0.909171066487897	0.782913464606282	0.668771109876604	0.931610117773763	0.739939195494121	0.801113761716838	0.952812443494776	0.8593140454767	1.12714572193963	1.13436065889541	1.08834342365955	1.06445703518317	0.770496327835894	0.881859799436375	0.513017615151229	0.705487037952357	0.698203389065674	0.950998250441992	0.781417755264391	1.1193035809367	0.503477283232658	0.539553548587419	1.32259909102686	0.61188124297967	1.09779136596937	1.07596808959192	0.927947369331742	1.08322317239713
"chr20_38057532_38066256_+"	0.420142160060707	0.228581250679243	0.560430298958359	0.766200772916481	0.831918570883069	0.438225748492757	0.45778835820227	0.590851403537135	0.320856112563349	0.52560235227289	0.33246218003762	0.176765546484623	0.547102871817126	0.616049620463022	0.777985868804368	0.414221911243652	0.876939982044652	1.09360009912369	0.823020688542356	1.15762341499251	0.952391562463144	1.10999709952052	0.877251515147919	0.876809747061268	0.978889786056694	0.931990694360779	0.680774867075073	0.692456522073063	1.13042063133997	0.584018683850232	0.785422478886888	0.726045571871478	0.834618468436605	1.27289994193945	0.897854557980636	1.05929855310481	1.11267751654383	0.715203393881689	0.531643939775426	0.324819000691367	0.824857219297793	0.929526680082917	0.772933588743109	0.62204440098796	0.798569585005365	1.08041283616686	1.06045221977682	0.852382871441976	0.809464599289082	1.06476359227203	0.845122018293605	1.40538375484253	0.984859208075805	0.993987266182244	1.15047331722165	0.756636510968341	0.947017521253899	1.0670814589709	1.16377585761475	1.46705951410489
"chr6_7176655_7189322_+"	0.661326612395732	0	0.476139873981595	0.868570417981145	0.482739301004742	0.825440187165046	0.948263623317727	0.585363511759227	0.471879552536436	0.605402784533863	0.487680256986954	0.473536736307203	0.177691920158897	0.555635143465951	0.883785788490659	0.522635994436126	0.934510869476389	0.800191286792117	0.905614432159057	0.882458986884365	0.809822463850483	1.11605059867909	0.765825792149136	0.770893935985618	1.01882710605113	0.874066672572998	0.780498173522448	0.914102806137608	0.955909461189398	0.779420757870509	0.921835973907212	0.414093620103529	0.641985428702139	1.42684279065855	0.852243631096653	0.844593776300359	0.795531060351738	0.929118539970023	0.882439420931543	1.06764310104255	0.987665623180298	0.931716553474902	0.886517651190218	0.552101435684653	0.497851710810834	1.03644402242535	1.07682961978666	0.894996690256326	0.604175249102649	0.951100163922862	0.386039195280703	1.07119329649481	1.08974896762987	1.18210032396676	1.04089473628339	0.476265120551786	0.962874902453812	1.09603322991779	1.20770715655903	1.19730726975324
"chr9_83678441_83686155_-"	0.787838839728629	0.673891024345523	0.560430298958359	0.876544728499927	0.908811977687436	0.935090358824491	0.990467099714913	0.680247040457058	0.557720256495297	0.555090013968724	0.59066725771067	0.659228496618526	0.723778102803806	0.876376769773844	0.632061312573223	0.656653592618647	0.961320228452159	0.865469029182836	0.394256432240492	0.860570664750235	0.850710989185216	1.01173125778963	0.234193482469669	0.715319645753564	0.897732181386952	0.959098403909481	1.06700230274485	0.859492508719863	0.631123599785881	0.892058301746167	0.853690619577659	0.774602227111169	0.778415315042335	1.15158176384927	1.00384219271409	0.990178170937316	1.04451931951832	0.80502881618896	0.68566347092576	0.784156534436867	0.528003107956276	0.697270837664439	0.845810974970572	1.18007295447548	1.06159708249994	1.04647806372321	0.899583006843642	1.02433801836136	0.813267247112708	0.92863019079708	0.6482724923544	1.1200533502396	0.920058658274806	1.10111745438629	1.16394856744401	0.588751154795606	0.719583387530769	1.26003136795018	1.03280792098412	0.843028435042239
"chr17_77402059_77402703_+"	0.653618994982621	0.777836996365527	0.478159930329226	0.611901550517601	0.706488368131175	0.607443862901972	0.591717163278804	0.863737654645882	0.5994730635149	0.5139457793558	0.789713973830752	0.784771667454279	0.791459540646671	0.484715955285732	1.04902319913994	0.977319703645095	1.06513362879357	0.39978699653347	0.535338763691892	1.04305484621936	0.997018196316195	0.800670981384093	0.711947473906897	0.740631459047874	0.832860679215363	0.694551696162466	0.846850066019181	0.779136217373838	0.489194999129773	0.923673310658814	1.02335701699337	0.93632935385552	0.855858023809411	0.759224580653599	0.886063298441972	0.728634927487132	1.13042890667018	0.809410921821998	0.570406496578975	0.791055288682095	0.595221216239697	0.790663642696448	0.404397163706865	0.650680306727069	0.668542913658416	1.24574943959806	1.36241811918872	0.95610108726726	0.954198292317718	1.33201788952855	0.836629909933068	1.14730632258691	0.747988375318005	1.06794007309424	1.08010417162101	0.593889686688847	1.15864430052798	0.873011440366049	0.884553014726928	0.836769740232045
"chr4_82878730_82881940_-"	0.277887900221279	0	0.74708097011458	0.891426027999411	0.727791653631458	0.751567627602522	0.772422915565165	0.887610780685885	0.320856112563349	0.845135224258383	0.662378970321762	0.622950483225895	0.336099186734521	0.90032863015455	0.833371735926195	1.01751026085255	0.835845774448262	0.744189047370019	0.454632480165445	0.668869938538433	0.845703395936754	0.866096242136128	0.804541219110935	0.871085181266054	0.727211935161454	0.970683761989716	0.689057523537372	0.810224089272868	0.979353315833739	1.05059016591549	1.10512517605673	0.939961854813024	0.457789030581827	1.3141615467092	0.979284761441107	0.845282638055885	0.690136481829754	0.674200675679817	0.769083003972108	0.827053212213872	0.728120195397589	0.670727019092189	0.701365033730438	0.951978851312197	0.676532087270081	0.996443282931526	0.964422555688671	0.652438795318485	0.767873968570406	1.02012908093984	0.960033152545219	0.920995001562922	0.526392524787727	0.804654613209015	0.825266699292131	0.673047709003681	0.777330465241296	1.2904331744215	0.780470263477055	0.824344579172306
"chr20_41092472_41101353_+"	0.445982733096482	0.228581250679243	0.476139873981595	0.640036230636115	0.685628777369815	0.938254995391539	0.850070493119156	0.651340276046944	0.503359922735314	0.740098487884965	0.634856940177992	0.648184512687808	0.602797695897439	0.509151900710428	0.777985868804368	0.815966083264593	0.797697993687844	0.606168161332911	0.257706775719154	0.840425026772096	1.39848291891914	0.844617782042133	0.575941790766511	0.974004325744342	0.759812667493694	0.661687980987158	0.841501032916469	0.843067741473719	0.916354093354872	0.984231085800524	0.804835013386593	0.778243492766459	0.604929398336495	0.889764735143829	0.875109218208704	0.844682554537877	1.02140714822869	0.586623645440875	0.849329671206924	0.237666920510634	0.600825606037664	0.716797163143813	0.549172405120967	0.246801418032905	0.441177788266206	0.94806448998576	0.694720012887113	0.724164081317153	0.847665313889594	0.795488139409084	1.13386017001695	1.13141446363347	0.860996347299546	0.752219433365176	0.989087486740353	0.72615021602012	0.707696801137776	1.09511103931425	1.15422384427038	0.754392753239315
"chr17_31155983_31169997_+"	0.793510638666558	0.846086633891033	0.560430298958359	0.997571457326856	0.278836410552954	0.698949746624657	0.676022170437972	1.01282116428368	0.796665666710907	0.728451756036703	0.467826184788313	0.733897719933297	0.58278997605489	0.708030938552277	0.189681650291544	0.476266861302488	0.984904899714642	0.764086539542159	0.50763029713178	1.38266344528198	1.16042106662552	1.25773010128155	0.777834049720584	0.360476262954194	0.896459840548512	0.909060707022367	0.721857684804412	0.588943457090712	0.782469235532106	0.882491555064375	0.978361615733777	0.827540250303187	0.784895184161313	0.581608314778551	1.00157570239066	0.701687012661672	1.03706675910331	0.819013946414298	0.983910498670715	0.812978726286134	0.756659310665521	0.608587383356719	0.859330992020174	0.884978310417831	0.902496545878313	0.888293718907709	1.02423455411999	0.906306297151994	1.0529357893127	0.90332985624489	0.896325238154206	1.25466818199404	0.895760050975949	0.791792426621295	0.704939774055926	0.499704585272907	0	1.39434749213549	0.94733837841276	1.01293494807034
