"13D_NCI-H1395_3"	"40D_NCI-H2087_3"	"55D_NCI-H820_3"	"08D_HCC4006_3"	"43D_NCI-H2228_3"	"20D_NCI-H1648_3"	"26D_NCI-H1734_3"	"31D_NCI-H1838_3"	"35D_NCI-H2009_3"	"47D_NCI-H2347_3"	"52D_NCI-H460_2"	"04D_Calu1_2"	"03D_BEAS-2B_3"	"10D_IMR-90_3"	"60D_WI-38_3"	"25D_NCI-H1703_2"	"49D_NCI-H292_2"	"53D_NCI-H520_2"	"54D_NCI-H522_3"	"39D_NCI-H2085_3"	"18D_NCI-H1573_3"	"19D_NCI-H1623_3"	"37D_NCI-H2030_3"	"11D_NCI-H1299_3"	"45D_NCI-H23_3"	"56D_NCI-H838_3"	"06D_Calu6_3"	"27D_NCI-H1755_3"	"58D_RERF-LC-MS_3"	"44D_NCI-H2291_3"	"51D_NCI-H441_3"	"09D_HCC827_3"	"12D_NCI-H1373_3"	"16D_NCI-H1563_3"	"59D_SK-LU-1_3"	"29D_NCI-H1792_3"	"30D_NCI-H1793_3"	"15D_NCI-H1437_3"	"41D_NCI-H2122_3"	"32D_NCI-H1944_3"	"02D_A549_3"	"36D_NCI-H2023_3"	"01D_A427_3"	"22D_NCI-H1651_3"	"33D_NCI-H1975_3"	"14D_NCI-H1435_3"	"23D_NCI-H1666_3"	"07D_HCC2935_3"	"28D_NCI-H1781_3"	"48D_NCI-H2405_3"	"21D_NCI-H1650_3"	"24D_NCI-H1693_3"	"05D_Calu3_3"	"34D_NCI-H1993_3"	"38D_NCI-H2073_3"	"46D_NCI-H2342_3"	"17D_NCI-H1568_3"	"42D_NCI-H2126_3"	"50D_NCI-H3122_3"	"57D_PC9_3"
"chr4_147857553_147881932_+"	0.979366801925641	0.271978717824041	0.638500313618572	0.580538863741016	0.473536736307203	1.30139544298916	0.441898043394146	0.928366574940649	0.839721528010902	0.838764341703947	0.56686735750592	1.07786007967129	1.30402019772972	1.02408326592939	1.08353248562615	0.472598327729948	0.878809896087102	0	0.839258333715649	1.32014031142147	1.24101107955887	1.22387524937274	0.937878355759833	0.707188473551216	0.346618478209318	1.01965301955574	0.550189322090371	0.946559369174492	0.893118756004972	1.03301490787939	1.27413278693394	1.1162529979575	0.953694474167867	1.03097696315789	0.79097883661721	1.27672979591649	0.994567867366555	0.439460178676014	0.478078308924808	0.703072525084051	0.812842431221962	0.427105303867778	0.6839580428653	0.400720865208623	0.816135031058221	0.811516462226787	0.672323683632451	0.732654311220465	0.763049973491929	0.973310798397082	1.61824008710139	0.833680015633883	0.515228489767122	0.925920724576611	0.729341770093029	1.07334349853063	1.1029540952671	1.33237553542553	0.916474009778088	1.04236430852141
"chr3_197104903_197119530_-"	0.228362928764015	0.651506916686893	0.737910861108626	0.553636732350335	0.971712450175905	0.46969820989868	0.580741920154519	0.776327408862713	1.28752834944052	1.08603502333653	0	1.13483218004751	1.33664550506515	0.596959577700879	0.606413992367871	0.627891281930608	1.03728174772439	0.681394876002728	1.18076291709054	1.61156085334117	1.11365081074067	1.22900488423474	0.788887763025583	1.1101844712362	0.552593072401222	1.23236892987844	0.532984145340677	0.651037049881594	0.897484797567188	1.26124513152665	1.19961040766814	1.35842452105307	0.92848636714123	1.29047942515042	1.05813848441542	1.11825037546763	1.65924332794208	0.824618306343352	0.825568127678303	0	0.765130502805605	0.691251098513921	0.624013073156778	0.653205887068686	1.08964090544009	0.770898181354516	0.795382868203428	0.981207990362569	0.80801009595517	0.978070578438641	1.06999042863907	0.988401102507192	0.883961199268632	0.714285428086001	0.468694353700037	0.75054268389199	1.04123468967255	0.95887039614884	1.00161976643766	1.34133830876446
"chr20_33619517_33623296_+"	0.715610757635556	0	0.287775215598247	0.272574408142553	0.592353485880676	1.04784659948196	0.947265080273139	0.506990049893284	0.879557317034449	0.750088969928351	0	0.604573573348762	0.362931539049603	0.654692824154995	0.687814499400562	0.335862542705671	0.916350386875305	1.02534255100578	0.657009606967663	1.29784756468394	1.05770427640994	1.05700894901001	0.762709298610184	0.525899216947196	0.904638686083992	0.849558169998079	0.796410365734505	1.01394655113822	0.604779657548618	0.748124975949696	0.652722553922173	0.773812499247944	0.372777104597612	1.30816196909563	1.21916183450447	1.10871085589577	1.13039983101662	0.711913393125942	0.515804172101395	0.489199465483964	0.908536142128768	0.795750044173694	1.08965206916245	1.05109129010982	0.792292250669755	0.724261670635906	0.877446455662952	0.971438866496053	0.623423738573785	0.768485587170078	1.23208759925422	0.81587558543979	1.08303333371152	0.984874561442235	0.859159912185178	1.06513744114306	0.941711976292947	0.993721488919863	0.754373261907185	0.772875230011042
"chr7_39987599_39988258_+"	0.50753667154365	0	0.632950479427165	0.869075768007445	0.626467888123817	0.786809789864871	0.742946864221035	0.689390749956168	0.898444431631018	0.599420308384901	0.56686735750592	0.895227037042142	0.528231227793503	0.959557177320685	0.857769583647595	0.335862542705671	0.565404408039152	1.11031824399047	0.87395618822557	1.26453357268497	0.589871343611308	1.22754723945512	0.661107561660067	0.63367760868839	1.09079201932513	0.75459429635448	1.21826804876994	0.775668469100487	1.25440500549979	1.01238741598365	0.530685460745857	1.02037349428844	0.500848757668342	0.781425057548819	1.15121077965665	0.759676994225485	1.07391873947898	0.653368323505468	0.821184863087719	0.267228786813889	0.881932578974635	0.962055289303264	0.737752332805898	1.16144875391029	0.934984546956691	0.440391590632645	0.93334090712683	1.04925366155821	0.27575562568253	0.961068845489291	1.21571911297754	0.627249180620671	0.876133281344503	0.78985629874408	0.999661591600388	0.993421929691027	1.32702762792352	0.91490874555408	0.988932150602029	1.34858796761493
"chr7_100812747_100813208_-"	0.55327165063765	0.492153050539157	0.844806985216234	0.687253532587921	0.588547379574975	0.796422547089709	0.796337015946909	0.795392038942872	0.745912581604053	0.790820561170498	0.445982733096482	0.967132778368107	0.75961789499948	0.875193211252349	0.979252403731529	0	0.983536994701921	1.05555326207484	1.10414348196619	1.03430478331138	0.944858556578566	1.00800816030788	0.934881705729116	0.851374738847343	0.785469183979447	0.311011949344617	0.822488189989518	0	0.937301783506639	1.22549862792052	0.987868676784964	0.941923256660713	0.692378540548643	1.00675784888586	1.23586495505999	1.01087167128272	0.814364507256102	0.863008553473466	0.863286613289086	0.22602526791393	0.668322768890293	0.858481072835771	0.772496523147077	0.834604538095185	1.16308438156178	0.667138519625609	0.615844672310322	0.909042508737932	1.12690183351644	0.772142514477208	1.09071189855934	0.783440161366656	0.82667456456489	1.68526147868184	0.999661591600388	1.31626346917066	0.874748403375535	0.936732041316131	0.275814233182227	0.978909810766018
"chr7_66127704_66134374_+"	0.631263165323579	0.177858869258398	0.524917019310016	0.506969332255973	0	1.20932767147539	0.909969279328708	0.756387302289423	0.291720777603345	0.87486153309315	0.259011695877701	0.906434447638969	0.631847993767618	0.641984525875253	0	0.706253668562658	0.472071352891046	0	1.05675478709501	1.70644086192909	0.918242846797426	0.969689899736264	0.928064890985327	0.960563156703742	0.86546897664118	0.979539470046564	1.02182221990063	1.09027312199022	0.816024775769122	1.20881858342674	1.19531826530625	0.571688377598277	0.984666798518966	0.854031691993966	1.02383180155012	1.48840156734146	0.844502868946886	0.940872260908131	0.455083934384321	0.667817777530926	0.738696213374481	0.844811053156087	0.344091701506684	1.16427486993131	0.808907997489027	1.24095425356311	0.789533662334502	0.798283379390243	0.819517802365866	0.685277843159272	0.961066656271229	0.668995340731467	0.865250558411748	1.11409110134739	1.10517945912352	1.26967955934109	1.1313979343587	0.952905939420139	0.655110317268077	0.426081347623896
"chr7_27629371_27632445_-"	0.841040570705919	0.503359922735314	0.978790632223729	0.963726481967025	0.906739300896336	1.27526962052365	0.915467730634894	1.03441531560307	0.436129534293531	0.971651890822104	0.629639757665108	0.895227037042142	1.08611679263965	0.593250840405233	0.334298358528195	0.761722538112413	1.08709021872379	0.606168161332911	1.13370982618502	1.69957499726093	1.20889095199633	1.55564230288687	1.28833420225247	0.713522402243705	1.14360226125091	0.742867248862783	1.27788460778309	1.06489738937227	1.32856667669448	1.01839557799449	1.10623310044506	1.06196855192147	1.19767559427026	1.5372758941267	0.658598018858003	0.992742516330654	1.05929855310481	1.1052916415059	0.770358186360715	0.806187587791549	0.995153567217513	0.841624390711182	0.457499407679145	1.17728293438175	0.932160173175892	1.20248486000987	1.10903580876745	1.09745460406465	0.747818962531732	0.543993044379365	1.54185551544073	1.16256790680243	1.00828941213222	1.39882478655643	0.910364770386576	0.833360591232219	1.47235409316377	1.10305250284389	1.12917083785766	0.765459939755872
"chr5_65988635_65994864_+"	0.866440089546133	0	0.855824597784405	0.666283223962473	0.651518563402903	0.866885332894629	0.791260400965656	1.2161497509201	0.774515444599418	1.02731641703248	0	1.19288544726354	1.04076307966566	0.976793902395089	0.832262086679198	0.683824996002989	0.88279719423846	0	0.454632480165445	1.43510497676323	1.04739531884269	0.868337870848316	1.2733028859506	1.14327699751181	0.814565112087883	1.05210314594558	0.927658396090751	1.34905487227392	1.14536171430604	1.14984029874101	1.16902226457236	1.37338187739326	1.47155289186405	0.7047181502699	0.884923817237219	0.950977042731505	1.54197378152503	1.01715194900497	1.08323339395134	0.456667386428133	1.25592579425672	0.687885687385543	1.02662178948062	0.680114341020693	0.989981506872747	0.735084957217669	0.693509121733138	0.790364247534865	0.806006877999232	0.869127903072939	1.13316463955667	1.26513172671623	1.45643541327134	1.65215416364026	1.06319608102026	1.26686425836853	0.811553437984917	1.0517610080866	1.12280810272735	0.469122353429798
"chr7_156826605_156836885_-"	0.836825506702584	0.779700163818027	1.16122584111183	0.666073217909604	0.706479296100332	1.1438603951382	0.884404350351731	0.688374620341441	0.0932102366320394	1.04564201298811	0.56686735750592	1.11285474510687	0.844170916462772	0.74783496734549	0.335863619645623	0.742045023871343	0.842966671539413	0.681394876002728	1.09055027966526	1.4556950310219	0.804333647816407	1.24506960485373	0.500989120508198	0.933626536957334	1.17225366322009	0.951723305945914	1.06807294173441	1.15820701485524	0.945640370276958	1.0247469093251	1.10623310044506	0.875327819964399	0.895992581018777	0.955303014258455	0.977919841988123	1.03149012564515	0.509204598310569	1.0021040456656	0.904887744616314	1.11615371458875	1.21103281171621	0.892792949422626	1.27000809705614	0.542260847530609	1.01280258079986	1.06305477458334	1.03654141440463	0.962036882766932	0.900889808663652	1.1043781628464	1.11759770112658	0.537108851299762	1.33648493905934	1.26688000784247	0.962560826048108	0.734095365011165	0.830684628616247	0.805293644911573	0.82269542295536	1.2909048387283
"chr7_24623666_24650712_+"	1.02342870577	0.967329593751261	1.1448054848721	0.699797075680072	0.970603154035442	1.06206981359736	0.966009411178624	1.48868829312252	0.549018119844247	0.853900027811994	0.725893536642298	1.29266656528988	0.260309082177703	0.534101936033728	0.652185995987205	1.07163242665437	0.752472404273381	0.864478822579518	1.23933225087073	1.41162933112604	1.1172985193368	1.02683145332443	0.911229083248904	0.93291753709977	1.21827649419435	0.963658647141648	1.08526750255759	1.08364668780224	1.11670122596485	1.15483011283981	1.00252377020469	1.01325275399233	0.992735331431225	1.07993827969649	1.14637933615145	1.18865265447619	0.98147976811859	0.762277593135906	0.942849934254444	0.995196584482953	1.01399076670635	1.09073490282608	0.934903131835478	0.623463484117899	0.980977218897671	0.745170737183471	0.989420026126177	0.738378128302924	0.915295311471934	1.31567310316802	1.01268722361295	1.24333289442721	1.24315124805111	1.32355803263667	0.959945951520344	0.902102034746607	1.23786490827516	0.775074884105684	1.22077235971862	0.988753360908741
